site,position,x_static_index,feature_name,feature_group,valid_n,missing_n,missing_rate,median,q25,q75,IQR
I0006,7,19,caisr_sleep_n3_pct,sleep_architecture,1142,0,0.0,0.08862464502453804,0.0183966183103621,0.14847849681973457,0.13008187850937247
I0006,8,20,caisr_sleep_rem_pct,sleep_architecture,1142,0,0.0,0.13019153475761414,0.07140225917100906,0.17954671755433083,0.10814445838332176
I0006,9,32,caisr_sleep_transition_rate,fragmentation_uncertainty,1142,0,0.0,16.79285717010498,13.555230140686035,20.701826095581055,7.1465959548950195
I0006,10,34,caisr_sleep_short_bout_ratio,fragmentation_uncertainty,1142,0,0.0,0.4834249019622803,0.4318181872367859,0.5362318754196167,0.10441368818283081
I0006,11,87,caisr_sleep_mean_stage_entropy,fragmentation_uncertainty,1142,0,0.0,0.5060912668704987,0.45007040351629257,0.5658714920282364,0.11580108851194382
I0006,12,96,caisr_arousal_arousal_index,arousal,1142,0,0.0,30.35247039794922,14.211613893508911,46.14704895019531,31.9354350566864
I0006,13,97,caisr_arousal_arousal_burden_ratio,arousal,1142,0,0.0,0.05914571136236191,0.023908983450382948,0.09426690638065338,0.07035792293027043
I0006,14,98,caisr_arousal_mean_arousal_duration,arousal,1142,0,0.0,6.863401412963867,6.14004111289978,7.618989706039429,1.4789485931396484
I0006,15,126,caisr_respiratory_respiratory_event_index,respiratory,1142,0,0.0,45.485843658447266,29.27751350402832,67.19510650634766,37.917593002319336
I0006,16,127,caisr_respiratory_respiratory_burden_ratio,respiratory,1142,0,0.0,0.19421400129795074,0.1258113756775856,0.2881216034293175,0.16231022775173187
I0006,17,141,caisr_respiratory_mean_resp_duration,respiratory,1142,0,0.0,14.925554275512695,13.760883331298828,16.464672565460205,2.703789234161377
I0006,18,168,caisr_limb_limb_movement_index,limb,1142,0,0.0,117.02225875854492,65.21086883544922,203.7062530517578,138.4953842163086
I0006,19,173,caisr_limb_plmi,limb,1142,0,0.0,70.07976913452148,35.346811294555664,124.93689346313477,89.5900821685791
S0001,0,11,caisr_sleep_tst_sec,sleep_architecture,5139,0,0.0,21060.0,18030.0,23400.0,5370.0
S0001,1,12,caisr_sleep_se,sleep_architecture,5139,0,0.0,0.7726722955703735,0.6699528098106384,0.8443399369716644,0.174387127161026
S0001,2,13,caisr_sleep_sol_sec,sleep_architecture,5139,0,0.0,960.0,570.0,1680.0,1110.0
S0001,3,14,caisr_sleep_rem_latency_sec,sleep_architecture,5139,0,0.0,7110.0,4320.0,12540.0,8220.0
S0001,4,16,caisr_sleep_waso_sec,sleep_architecture,5139,0,0.0,4680.0,2940.0,7050.0,4110.0
S0001,5,17,caisr_sleep_n1_pct,sleep_architecture,5139,0,0.0,0.09401709586381912,0.06266346946358681,0.13978366553783417,0.07712019607424736
S0001,6,18,caisr_sleep_n2_pct,sleep_architecture,5139,0,0.0,0.5950292348861694,0.5297216475009918,0.6662507653236389,0.1365291178226471
S0001,7,19,caisr_sleep_n3_pct,sleep_architecture,5139,0,0.0,0.12597200274467468,0.06913667917251587,0.18002720177173615,0.11089052259922028
S0001,8,20,caisr_sleep_rem_pct,sleep_architecture,5139,0,0.0,0.15724137425422668,0.10427993908524513,0.20586282759904861,0.10158288851380348
S0001,9,32,caisr_sleep_transition_rate,fragmentation_uncertainty,5139,0,0.0,17.045454025268555,13.655466556549072,21.63394832611084,7.978481769561768
S0001,10,34,caisr_sleep_short_bout_ratio,fragmentation_uncertainty,5139,0,0.0,0.46296295523643494,0.40425533056259155,0.5163062810897827,0.11205095052719116
S0001,11,87,caisr_sleep_mean_stage_entropy,fragmentation_uncertainty,5139,0,0.0,0.4971751272678375,0.4500283747911453,0.549268513917923,0.09924013912677765
S0001,12,96,caisr_arousal_arousal_index,arousal,5139,0,0.0,39.62716293334961,28.643181800842285,51.42856979370117,22.785387992858887
S0001,13,97,caisr_arousal_arousal_burden_ratio,arousal,5139,0,0.0,0.08506588637828827,0.05833977274596691,0.11495282873511314,0.05661305598914623
S0001,14,98,caisr_arousal_mean_arousal_duration,arousal,5139,0,0.0,7.648325443267822,7.006179332733154,8.343300819396973,1.3371214866638184
S0001,15,126,caisr_respiratory_respiratory_event_index,respiratory,5139,0,0.0,45.42586898803711,32.18641471862793,63.071956634521484,30.885541915893555
S0001,16,127,caisr_respiratory_respiratory_burden_ratio,respiratory,5139,0,0.0,0.1880761831998825,0.12756554037332535,0.2629283517599106,0.13536281138658524
S0001,17,141,caisr_respiratory_mean_resp_duration,respiratory,5139,0,0.0,14.565444946289062,12.97794771194458,16.290650367736816,3.3127026557922363
S0001,18,168,caisr_limb_limb_movement_index,limb,5139,0,0.0,101.04512786865234,55.700904846191406,192.6019744873047,136.90106964111328
S0001,19,173,caisr_limb_plmi,limb,5139,0,0.0,63.870967864990234,29.48661518096924,119.7063980102539,90.21978282928467
